step,hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,thelio,120355,08e6b261-d692-4405-9356-15ecc5742cc4,0,1621600749.7796674,1621600759.2955909,0.003933141359751749
0,thelio,120375,d4209acb-6a89-4fa3-b23e-9991585dd114,1,1621600749.7737625,1621600759.590738,0.0042770269697475615
0,thelio,120528,58805361-8db2-4ddd-9378-b8ac5678242d,2,1621600749.773556,1621600759.7402997,0.004531446998961136
0,thelio,120344,abe351ec-c03a-49bf-84d4-c385b934e8ab,3,1621600749.7666907,1621600760.0503016,0.005327361421026327
0,thelio,120357,a935090b-7437-490f-9972-acb5e8d71ade,4,1621600749.7729747,1621600758.6221974,0.003291283161428742
0,thelio,120363,3cdf79f1-cf9e-4422-8484-2576d22be913,5,1621600749.7732584,1621600759.3993475,0.006611343433471498
0,thelio,120381,9e15e3ce-3ad3-437c-9289-942666363bcf,6,1621600749.773385,1621600759.5647075,0.004718547863684039
0,thelio,120371,2b701d5a-db08-4b0f-b90f-20404f547479,7,1621600749.7730105,1621600760.3620725,0.0027296250920902008
0,thelio,120410,8b58cea0-13b7-4cb5-80fb-ff68020ad4db,8,1621600749.780676,1621600758.3416512,0.003327119267086666
0,thelio,120461,6c805d84-56a2-4535-96d8-472fe818dc19,9,1621600749.7675343,1621600757.8358293,0.002465132601080295
0,thelio,120367,fd6749a2-b878-4874-ba7c-ba9f5d74ae69,10,1621600749.779863,1621600761.349434,0.016011629462340783
0,thelio,120378,526968fc-3101-402c-83a8-dd51ffa27789,11,1621600749.7753386,1621600758.5316777,0.0030320225396639456
0,thelio,120351,4222cae8-8838-4853-a404-2168dda1aa4e,12,1621600749.769553,1621600757.5350144,0.005940071970655802
0,thelio,120385,e0092b63-c86e-4cb0-b30b-55ad4d45150a,13,1621600749.7767994,1621600757.9528506,0.003920900411830826
0,thelio,120348,ce2372c2-5b89-4d18-a5c8-56b203f0cc97,14,1621600749.770477,1621600757.6067078,0.0053125359190231425
0,thelio,120358,9fbe5747-00ed-4547-b331-7dfcbe1df841,15,1621600749.7713876,1621600757.2524598,0.002926444179493879
0,thelio,120355,dc460f50-1c80-46b5-8f86-f45d3ecc49c3,16,1621600749.7900996,1621600758.2045414,0.002550974390570661
0,thelio,120375,9f6e2206-33eb-4f5c-9d37-6f0e3bb81421,17,1621600749.7842042,1621600759.8540502,0.004831328286609064
0,thelio,120528,8e384b7b-ffb9-43e8-bb10-85c44987fe86,18,1621600749.7873533,1621600759.3929067,0.003942639218320405
0,thelio,120344,af0c7381-6708-446a-9df9-ec706f97d4f2,19,1621600749.7772121,1621600758.28326,0.002334196203340087
0,thelio,120357,fbfb99fe-2e7a-452a-857e-e46da9ccbabc,20,1621600749.787272,1621600764.1064794,0.020596103144057756
0,thelio,120363,98b53280-d1de-48da-9215-abc32b8cf90d,21,1621600749.7837002,1621600759.360537,0.0027363776171057796
0,thelio,120381,a796c100-e906-406d-aa37-a0db721594f4,22,1621600749.7838259,1621600758.1619453,0.0022261339062390993
0,thelio,120371,b7301cf3-3a7a-45d1-94f9-1a530aac5695,23,1621600749.7834206,1621600760.2714942,0.0027706390814950252
0,thelio,120410,b17bb249-4be2-42f0-b187-bbbc62f3e585,24,1621600749.7911153,1621600758.1373,0.0021077360556556973
0,thelio,120461,f2dd7305-87bc-4f29-a375-b7e16282675b,25,1621600749.7804267,1621600757.4676104,0.002661398202720063
0,thelio,120367,38e97462-69a7-4407-b84a-e93b8658dc96,26,1621600749.7937255,1621600758.7356465,0.0030441519553813514
0,thelio,120378,4772c083-8dbb-4508-b91c-1f26ac1a0f02,27,1621600749.7806072,1621600758.1499763,0.0024651089969929913
0,thelio,120351,5e0925fd-a725-459d-be9e-01707d855353,28,1621600749.7824116,1621600756.9156127,0.0027301191525781797
0,thelio,120385,01959877-1ac7-4cae-8666-586c616f33a7,29,1621600749.7872722,1621600757.9973178,0.0033049070126949685
