interval,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,0897781f-1f80-4302-a123-00d11575cc28,0,1646411564.4792051,1646411564.757577,36.0
25,0897781f-1f80-4302-a123-00d11575cc28,0,1646411564.4792051,1646411564.757577,36.0
25,c470af52-1926-48a8-8821-4791bb4de37c,6,1646411564.481199,1646411564.761434,30.0
25,73b1285f-a29b-46db-b418-00ca72146ec0,4,1646411564.4857311,1646411564.768063,14.0
25,ec5e0738-bf2d-42b9-89df-5d695053746b,1,1646411564.502232,1646411564.769258,62.0
25,cd67f67a-5f92-4860-af47-b6745119e09d,9,1646411564.468991,1646411564.7850099,13.0
25,be9942f5-d83b-4d85-81c8-8ea277197fd7,2,1646411564.552446,1646411564.846574,14.0
25,b6e41705-6550-42ac-9b4a-deda20f0480d,3,1646411564.554354,1646411564.8484612,21.0
25,05f506c4-7e6f-45c8-a309-97aaa22f0dac,14,1646411564.5549572,1646411564.849371,12.0
25,554680c8-fb37-4117-b368-af4116e839da,10,1646411564.557346,1646411564.849141,13.0
25,8aebedeb-ec37-4621-901b-6f5a8e053e35,12,1646411564.56511,1646411564.849671,14.0
25,6b38b132-621c-487e-9d0f-6b54ce079d27,11,1646411564.559927,1646411564.849878,12.0
25,f8fb5e0b-dd8b-4b4c-87a3-78220fbf2df6,5,1646411564.558506,1646411564.853625,49.0
25,c9dbb6f8-ce29-4b41-b9c7-2234421b2675,15,1646411564.5576608,1646411564.8532412,37.0
25,43cfe8e3-fd87-4f89-9d6c-4db52a97d458,7,1646411564.571629,1646411564.8559492,55.0
25,7201b71c-efa9-4c41-93b7-0f560d0a1b88,13,1646411564.633282,1646411564.905779,46.0
25,365800c5-3216-44bc-95c4-82d6146cd012,18,1646411564.7718122,1646411564.9186728,14.0
25,739801f9-a540-4bee-8183-06020cb3a39a,24,1646411564.7713459,1646411564.918816,11.0
25,798f0efd-5f1b-4b97-802b-ca946b5d87e2,17,1646411564.776147,1646411564.921987,14.0
25,9d17d8c4-a04f-48b2-a5c3-f7e3c4560740,16,1646411564.760592,1646411564.923095,37.0
25,07f73cfb-75fd-4ea8-b568-c705ce878ffe,23,1646411564.787395,1646411564.929686,43.0
25,4f5a1894-763d-45aa-be7f-7d13e736d531,27,1646411564.880408,1646411565.007087,18.0
25,b41deb44-d661-4d27-8428-7d4b33323ad5,22,1646411564.851095,1646411564.9900732,24.0
25,3ae1d4d0-c1f5-4af8-8fe1-7c2d6e9815f9,19,1646411564.851986,1646411564.994565,69.0
25,f1fdcff4-f670-44bb-ba71-a7779fec2b41,21,1646411564.8526652,1646411564.997365,29.0
25,b2a4c6c6-a294-4cd2-8478-765c3657f68a,20,1646411564.849695,1646411564.9999008,20.0
50,21c7cc66-636e-47a1-8652-2d2616b93922,48,1646411565.312504,1646411565.416545,24.0
50,0c3f5e69-686d-4ee6-87f0-7f1b640fab88,41,1646411565.2017589,1646411565.2983308,23.0
50,73b1285f-a29b-46db-b418-00ca72146ec0,4,1646411564.4857311,1646411564.768063,14.0
50,b3a52bdc-d95b-458d-8ffe-400d15bc320e,28,1646411564.937553,1646411565.059537,25.0
50,cd67f67a-5f92-4860-af47-b6745119e09d,9,1646411564.468991,1646411564.7850099,13.0
50,be9942f5-d83b-4d85-81c8-8ea277197fd7,2,1646411564.552446,1646411564.846574,14.0
50,b6e41705-6550-42ac-9b4a-deda20f0480d,3,1646411564.554354,1646411564.8484612,21.0
50,05f506c4-7e6f-45c8-a309-97aaa22f0dac,14,1646411564.5549572,1646411564.849371,12.0
50,554680c8-fb37-4117-b368-af4116e839da,10,1646411564.557346,1646411564.849141,13.0
50,8aebedeb-ec37-4621-901b-6f5a8e053e35,12,1646411564.56511,1646411564.849671,14.0
50,6b38b132-621c-487e-9d0f-6b54ce079d27,11,1646411564.559927,1646411564.849878,12.0
50,8621def3-1977-49fd-8fb6-fc4e74faf311,31,1646411565.009514,1646411565.103979,13.0
50,733b9a97-98ca-4df1-b273-14942566492b,35,1646411565.0924292,1646411565.1843,13.0
50,8f6953d9-3a5a-4d1b-bf33-719111c659b8,29,1646411564.959239,1646411565.0713742,24.0
50,4b5a62be-cef4-48f7-8b9f-af42e4eb3877,40,1646411565.179991,1646411565.273372,11.0
50,365800c5-3216-44bc-95c4-82d6146cd012,18,1646411564.7718122,1646411564.9186728,14.0
50,739801f9-a540-4bee-8183-06020cb3a39a,24,1646411564.7713459,1646411564.918816,11.0
50,798f0efd-5f1b-4b97-802b-ca946b5d87e2,17,1646411564.776147,1646411564.921987,14.0
50,4b0c8ec1-6e7f-4733-abfa-983834804504,36,1646411565.1139321,1646411565.213273,11.0
50,0eb12583-83c0-4953-b89a-f66a6bd65dec,49,1646411565.322402,1646411565.4289951,23.0
50,4f5a1894-763d-45aa-be7f-7d13e736d531,27,1646411564.880408,1646411565.007087,18.0
50,b41deb44-d661-4d27-8428-7d4b33323ad5,22,1646411564.851095,1646411564.9900732,24.0
50,518dc79b-3354-4765-9c5d-35eaa1d587a4,25,1646411564.9246368,1646411565.05918,13.0
50,a1bbd45a-3512-4e76-bd94-3e9186ef464a,47,1646411565.2936618,1646411565.402582,9.0
50,b2a4c6c6-a294-4cd2-8478-765c3657f68a,20,1646411564.849695,1646411564.9999008,20.0
75,2dca6e2d-2ed7-4870-a0c2-3ebb499bbe30,57,1646411565.450662,1646411565.5562549,11.0
75,bb357d21-30ae-481e-8b50-95a182fde2d4,63,1646411565.552279,1646411565.647788,10.0
75,73b1285f-a29b-46db-b418-00ca72146ec0,4,1646411564.4857311,1646411564.768063,14.0
75,b90ddeff-56fe-4d4a-abea-1824649f45c8,55,1646411565.4191191,1646411565.516074,11.0
75,cd67f67a-5f92-4860-af47-b6745119e09d,9,1646411564.468991,1646411564.7850099,13.0
75,be9942f5-d83b-4d85-81c8-8ea277197fd7,2,1646411564.552446,1646411564.846574,14.0
75,eec6af3a-95ee-4e54-a2a8-c44a416afd77,72,1646411565.713631,1646411565.8069062,18.0
75,05f506c4-7e6f-45c8-a309-97aaa22f0dac,14,1646411564.5549572,1646411564.849371,12.0
75,554680c8-fb37-4117-b368-af4116e839da,10,1646411564.557346,1646411564.849141,13.0
75,8aebedeb-ec37-4621-901b-6f5a8e053e35,12,1646411564.56511,1646411564.849671,14.0
75,6b38b132-621c-487e-9d0f-6b54ce079d27,11,1646411564.559927,1646411564.849878,12.0
75,8621def3-1977-49fd-8fb6-fc4e74faf311,31,1646411565.009514,1646411565.103979,13.0
75,733b9a97-98ca-4df1-b273-14942566492b,35,1646411565.0924292,1646411565.1843,13.0
75,d31964dc-117b-4fc8-af1d-f70f0d02b301,74,1646411565.770645,1646411565.862944,15.0
75,4b5a62be-cef4-48f7-8b9f-af42e4eb3877,40,1646411565.179991,1646411565.273372,11.0
