hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
thelio,36025,2dd761e4-fde9-4e51-bfe5-a83a1c5daa00,45,1630149308.462432,1630149314.4286387,0.0020376853140048647
thelio,36055,fbd4116d-4825-4a2d-b8ee-7018247f1d6b,46,1630149308.4482782,1630149314.7013595,0.0020292665286934437
thelio,36025,f18b5fe6-4d3f-415d-add2-7a008c569765,13,1630149308.4264412,1630149314.706096,0.0030256861879070524
thelio,36019,aad625b2-0931-41e0-9d58-deed7f1268c8,12,1630149308.4257567,1630149314.7100356,0.0026244278814780177
thelio,36025,36233317-7731-4c7f-9abd-da250b5ff4b6,29,1630149308.4368536,1630149315.260591,0.0024250358857869857
thelio,36019,7be0a5b2-a662-4e60-a149-ed50fd716e5e,44,1630149308.4589012,1630149315.406586,0.0036034333091963496
thelio,36055,a232a752-340c-45c7-9f47-5a5d07ba6d88,14,1630149308.4264379,1630149315.4360435,0.003568965052989681
thelio,36019,f6b5eb9f-1030-4762-9bb8-7b69913f09dc,28,1630149308.4311721,1630149315.5298922,0.004546134146375333
thelio,36029,89c412fe-ed81-482b-83f5-adf8fc538651,15,1630149308.4288764,1630149315.5350115,0.002408197647227709
thelio,36055,3f4b3512-1408-4504-bbbd-02635051b42c,30,1630149308.443022,1630149315.757166,0.0029398641553186203
thelio,36058,0b32d4ce-d4a9-4c6b-a02c-724114039c1f,51,1630149308.4747157,1630149316.013377,0.0021763885783218613
thelio,36050,5e2cfcf9-7748-4b95-8a52-43fd7ca3da83,38,1630149308.4662766,1630149316.1546962,0.0026782687319936113
thelio,36194,9929f0eb-d374-4c98-93f2-31c1fbbe1d41,57,1630149308.4883718,1630149316.2521937,0.0023125024890957536
thelio,36127,5db93a69-f3fa-458a-8b73-9989be84ea09,40,1630149308.4610364,1630149316.3542728,0.0023032034293169997
thelio,36194,94290942-ee02-4404-a43d-839ee5f6ca69,9,1630149308.4371715,1630149316.457913,0.0020827973386183347
thelio,36058,ddde3557-43ce-4c64-a060-622b3331061b,35,1630149308.4638324,1630149316.6151726,0.0018672414057940832
thelio,36029,23367c32-48be-4b70-bbb2-18b6d7843122,47,1630149308.4657125,1630149316.6899893,0.003951625974536817
thelio,36194,550bd388-9b27-42af-b26c-834fcf084a27,41,1630149308.4583006,1630149317.0848153,0.0027508730106420493
thelio,36261,ebdf63b1-514a-4c18-ae44-53247013c589,39,1630149308.460803,1630149317.2521317,0.002522126195463197
thelio,36058,dac460a0-79b7-41d7-97d6-f557aca4c4e6,3,1630149308.4373925,1630149317.3227172,0.0050677758568660695
thelio,36038,0b766fe8-fac0-49b6-b8d5-362d24d4042c,53,1630149308.4859788,1630149317.425315,0.002711776144297531
thelio,36261,8ac4d858-e185-4b50-a223-37c397b807fc,23,1630149308.4414206,1630149317.4909809,0.002181518096967492
thelio,36034,e53f8b5c-af64-428e-8591-ed6f1a7a2a81,0,1630149308.4354692,1630149317.7060018,0.0027807923680774047
thelio,36042,f71b3fdb-de81-4cd5-a0bb-979f4c1b61da,42,1630149308.4459143,1630149317.7695837,0.0028718046814465254
thelio,36034,c8abaa06-2339-4a51-9aa5-3ed6495e6862,48,1630149308.4745657,1630149317.825409,0.0029036116070577985
thelio,36127,78f118cf-c4e5-492b-898c-5cdcf95e38ff,8,1630149308.430242,1630149317.849278,0.003107572404943143
thelio,36050,13157db4-6f3e-468f-8e55-a4d3c9d33744,54,1630149308.4866288,1630149317.8538089,0.0037434928194010884
thelio,36058,3c957111-f133-4733-935c-2dae05c0be77,19,1630149308.4479651,1630149317.866535,0.003841402219312917
thelio,36016,a683966d-c156-4d4d-a374-056cea8aeaf9,50,1630149308.4678652,1630149317.9225414,0.002829249800341975
thelio,36038,4d6f862c-3a5f-4403-9cb3-f2ebd9fbbbfb,37,1630149308.4675727,1630149317.9831622,0.003314576020068038
thelio,36038,65de3781-b125-4ec4-a1ce-277761514f30,5,1630149308.4407206,1630149318.044188,0.00300237901769158
thelio,36042,5f2b7870-439b-4166-898d-bcc90814c2f2,10,1630149308.4250927,1630149318.1452253,0.0034386653812301755
thelio,36261,da813ea8-56c2-44ac-ba4c-6bd88404bc62,55,1630149308.4714086,1630149318.169084,0.00392707382849462
thelio,36029,d1b86e9c-f41f-44a4-8469-5e5a9ddc1d25,31,1630149308.4344323,1630149318.3516216,0.010879230794303325
thelio,36042,625be4da-0765-4084-bae3-cee08168623e,26,1630149308.4406538,1630149318.3557987,0.003097513648352907
thelio,36038,55cb498c-6437-4c18-be80-24bc31ed5bba,21,1630149308.4516244,1630149318.4203794,0.004212670111214692
thelio,36050,4c814c17-858a-4449-be5d-892399bbe89b,22,1630149308.4508224,1630149318.5365949,0.004466585451379431
thelio,36127,a2211809-83a8-45d2-962e-ad712502c5d0,56,1630149308.4663613,1630149318.6687868,0.003685941908500494
thelio,36194,1f6086a9-57bf-41b3-b67d-3dd7ceb4cdc0,25,1630149308.4476175,1630149318.7293315,0.0030025250171071965
thelio,36022,5b28f6d0-b6ae-4819-8361-cc261f23ff81,33,1630149308.4577904,1630149318.7793257,0.0025000889843733703
thelio,36042,84593550-fa7b-4614-9532-22cde5f64bb9,58,1630149308.4768262,1630149318.8576252,0.004726945996651645
thelio,36025,3a8a6f18-e9ba-4e72-9129-a1b7c7f1f6e0,60,1630149314.9020956,1630149318.9653504,0.002485819893169163
thelio,36022,3cd6276d-40fa-4918-9b4f-dd5b148b439d,1,1630149308.4290965,1630149319.035816,0.0035749920216923193
thelio,36050,1c548928-61db-4f20-b5b5-a7bb13bdbafe,6,1630149308.4303672,1630149319.0780542,0.0047039212045682805
thelio,36022,0613f2d4-1fa0-4732-a076-cd42f0d203f6,17,1630149308.4446309,1630149319.1460948,0.0042330692699892505
thelio,36016,a5a5a8d5-2973-4135-850c-1bf96c93bb8b,18,1630149308.4457679,1630149319.2119825,0.0029820725220396525
thelio,36034,efcc86e9-bbc2-41f0-b9f3-80b125ad1774,32,1630149308.4690242,1630149319.2196245,0.00298095617024226
thelio,36025,0d38b8ec-1aed-4bff-a78b-9f82e6d01aa6,62,1630149315.3286314,1630149319.288779,0.003230607218559025
thelio,36019,cb02fccd-4f73-47d5-bdd3-9c60a4e1c1b0,61,1630149315.15626,1630149319.2663748,0.002974898609877746
thelio,36022,b992b4e8-dab2-47d5-9334-a7f640836f46,49,1630149308.468226,1630149319.3606157,0.0042634171574987955
thelio,36127,ed0655c3-ba94-4e08-a076-34eb221a8b7d,24,1630149308.4407365,1630149319.624182,0.007142085835344226
thelio,36029,be701a76-989b-4bbc-84bd-75fedb8a1ae1,69,1630149316.818176,1630149319.6248112,0.0029066059757521805
thelio,36025,c47d003e-3c21-4133-a654-9b6660e16b7c,67,1630149316.4454167,1630149319.6523912,0.0023807644797741545
thelio,36016,b27520a6-bc19-4dab-aab3-93648d7e49c3,2,1630149308.4301374,1630149319.6677914,0.003414351551343284
thelio,36016,0da67faf-0f6d-44e8-9165-ddbaf618abad,34,1630149308.456267,1630149319.7540133,0.003266773397655924
thelio,36034,e95d218a-7836-48b1-a51e-995a037b896c,16,1630149308.4409068,1630149319.8163705,0.004017254419817762
thelio,36055,61de3479-620b-4118-92ef-b3bbdb3d6960,63,1630149315.514311,1630149320.344955,0.004411859354738092
thelio,36044,2f05d192-bf39-4c42-a9b2-ae814bc762c9,4,1630149308.424044,1630149320.3995452,0.004339369328979441
thelio,36019,b2b72b9e-4318-4684-8ada-c0fad1fdac49,66,1630149316.2332082,1630149320.8439016,0.003525325418949807
thelio,36019,ba5749fa-b32c-455a-9a71-23c048eb64f3,64,1630149315.670407,1630149321.002314,0.003694076997304491
thelio,36048,3c573d05-79e6-4aad-a9a6-48a222cccc26,11,1630149308.4336715,1630149321.106555,0.003211258988219821
thelio,36038,639b4557-7272-4d61-a2a6-376f77a3ce2c,75,1630149318.1329598,1630149321.115785,0.0023889824440995943
thelio,36261,46436dec-ec03-4548-930f-7fee248f1fdd,73,1630149317.721496,1630149321.290839,0.002046314984383741
thelio,36194,0765d6fa-528c-4061-8c13-01b9eccd7a49,71,1630149317.234802,1630149321.2916126,0.0031488209933756414
thelio,36194,f3be45c9-55e9-492e-aff8-a9e7dee25331,68,1630149316.5048292,1630149321.324309,0.0042330692699892505
thelio,36055,6a7260bb-c663-4399-968e-af7057f5a5b8,65,1630149316.0459256,1630149321.4212925,0.00715603595571178
thelio,36034,fd469866-cfb4-4817-8c27-4a489ae23ac8,74,1630149317.949879,1630149321.489204,0.0029337176062909447
thelio,36261,1a6c77a6-6d41-4ca7-b46a-0e90b0b03254,7,1630149308.430891,1630149321.5731146,0.012237322983364118
thelio,36050,f5c54a88-0fcb-49d8-bc80-e74a96da9e72,79,1630149319.2331865,1630149321.6046655,0.0030269119202972006
thelio,36022,c3086266-08e0-4b1b-861d-bf8985b86bd4,80,1630149319.388803,1630149321.9680135,0.0026608528869319996
thelio,36048,e39171cc-45c4-44bd-9ef7-429b6c89260a,43,1630149308.4598298,1630149321.9726877,0.005416695997940708
thelio,36058,35ae065f-a957-4262-a22f-c0267ea72581,70,1630149316.9911764,1630149322.1130793,0.0037540880804587057
thelio,36025,2afff08b-d3b9-4cb5-9daf-daa2db9234c9,84,1630149320.2131293,1630149322.1393614,0.002472172317462526
thelio,36022,8cd1fa2a-d8cc-4210-9eed-e035a5e14c49,81,1630149319.5825062,1630149322.153045,0.003328725513504007
thelio,36127,2ff7038d-d35b-4ba9-8ed8-d49f7c871b08,83,1630149320.056714,1630149322.203728,0.0036293676562148052
thelio,36038,49b3dfa6-178e-4654-81e7-86743fa6debf,77,1630149318.6410491,1630149322.4203131,0.007679420865028303
thelio,36016,cecfed51-499d-4e3b-af0b-1b5185f1f3df,82,1630149319.8811505,1630149322.5870163,0.0034386653812301755
thelio,36042,6de5739c-6451-48fe-867f-e510ccc23441,78,1630149318.9358897,1630149322.6278956,0.008603128044772737
thelio,36058,bc5df9d5-75ae-4a2c-90d3-1919b8f5e354,72,1630149317.4724622,1630149322.968456,0.00518029456691574
thelio,36048,30528670-0265-44e1-b5ab-0174c2842c25,59,1630149308.4850938,1630149322.9975088,0.005456457992418065
thelio,36019,6b07e040-af90-4151-9ee5-4dd47ef03892,88,1630149321.04322,1630149323.0996952,0.0022183132049660046
thelio,36029,62c2fbb5-9453-48f6-b58f-caa7a89b5069,85,1630149320.4162974,1630149323.1522868,0.0037133355961443864
thelio,36029,81840f09-5f0d-42b8-941b-e47ff636bf42,86,1630149320.692799,1630149323.339395,0.002317992201157376
thelio,36058,17551bad-cf4e-489b-be00-410382f5cc02,76,1630149318.3206022,1630149323.4421105,0.004731055455781438
thelio,36044,9d5b43b0-a031-4ad7-91ad-fbaafc19b423,36,1630149308.444339,1630149323.50923,0.006537311382416744
thelio,36016,df498bc6-55d1-4c6b-ad65-dbaeb4bfd35f,89,1630149321.2062764,1630149323.934971,0.002375739311836713
thelio,36194,4f7936ba-403f-424c-8bcc-8db942e833a6,90,1630149321.4971635,1630149324.024628,0.0039681548582309375
thelio,36261,40e7f4c6-06ca-4838-a3ff-60180cd956d4,92,1630149321.8995373,1630149324.0620556,0.003455022318318582
thelio,36050,197c610d-5632-4fcf-9661-82340b6d64a6,91,1630149321.7544215,1630149324.1185572,0.0037525580799756633
thelio,36127,5cfb1302-cffd-45fd-8f6b-dbb46f92ef6e,94,1630149322.35808,1630149324.4335346,0.0028168100272334467
thelio,36022,99b49d35-2036-4483-a874-55180934da5e,93,1630149322.1869152,1630149324.4649518,0.002906737435550166
thelio,36038,97161322-8c2c-4dcf-a160-a36c80c13a09,95,1630149322.61041,1630149324.4884455,0.0018983604969391905
thelio,36034,ac83519d-3f48-49a4-99d0-1696949f09ac,87,1630149320.8819487,1630149324.8337233,0.005609003434482088
thelio,36048,2a5f1050-7c41-49b3-aa78-0f20aeb0a8bc,27,1630149308.4390285,1630149324.9794216,0.013694126769992427
thelio,36042,3533b2ab-088a-49f7-9f5e-f8a1329536df,96,1630149322.9408553,1630149325.03592,0.003556415365889828
thelio,36019,54eb3ae2-4d0d-42d8-84f4-bc936c67d4ab,97,1630149323.1160595,1630149325.1975036,0.002383785535641731
thelio,36025,7a138862-da0e-47d5-9396-3c3a31190dc0,98,1630149323.276813,1630149325.250406,0.0023391570096701715
thelio,36058,a3ac23b6-e582-4015-afa4-fdaa1bf7506a,100,1630149323.653467,1630149325.5422895,0.0020927212495976035
thelio,36055,8815971e-5f8d-44a1-96cc-251ae0b8b049,99,1630149323.5411952,1630149325.6069758,0.0038142414625621443
thelio,36029,bb14cd90-14de-4adb-bf99-4e83e074eb41,101,1630149323.7974913,1630149326.094599,0.004012682716734333
thelio,36044,96e706cf-b75c-4f52-aaa5-ad21f374a0a1,52,1630149308.46071,1630149326.1797564,0.010960234236285688
