step,hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,thelio,109214,df35f94c-88de-453e-ae2c-90bfe560e78c,0,1630168995.3503482,1630169003.5486646,0.002448612324665083
0,thelio,109188,0429b256-4985-4365-b581-150b60867f5c,1,1630168995.3480139,1630169004.1948378,0.0035767163745920308
0,thelio,109225,bfefcb3d-8758-498c-b4a2-763b998cd810,2,1630168995.346189,1630169004.2128465,0.002239542111515133
0,thelio,109186,e23a7011-58b5-4dac-924d-164d5dcd5acb,3,1630168995.3524776,1630169007.5404007,0.0052470854395754675
0,thelio,109359,b1922fa9-f533-4006-8620-113e738dbc27,4,1630168995.3434007,1630169003.735892,0.0026071875795236174
0,thelio,109196,56b3fa25-6948-4033-b105-b9e8a5a8510f,5,1630168995.350453,1630169004.1310563,0.0043723099444364436
0,thelio,109386,e25ffc67-e5ba-4235-974e-d56a4f56f5d8,6,1630168995.3503466,1630169004.8039546,0.0034155022256746846
0,thelio,109493,4e44f274-d44d-4d8b-aa7c-bfb2f913ca82,7,1630168995.3457403,1630169004.1448452,0.0023786333703968553
0,thelio,109182,6e7a3666-29e1-4802-ae79-df5d417fc540,8,1630168995.3528678,1630169003.7112687,0.0021010241463325606
0,thelio,109220,5ebe3bea-b200-4972-a971-df116a8a82db,9,1630168995.343486,1630169009.9359152,0.009124929545697272
0,thelio,109203,0390c62a-1ea8-4063-a9b1-95491353c762,10,1630168995.3437977,1630169003.3531861,0.0022520432129634594
0,thelio,109199,288e46e8-ebf7-4b18-8a2b-d34af523382c,11,1630168995.3528142,1630169006.7184522,0.0047419842559806155
0,thelio,109208,b5ba5335-9d91-475a-b35a-0d7a19c26aaa,12,1630168995.3476675,1630169001.7884078,0.0029118261363407206
0,thelio,109211,7b0e631f-c288-49ea-8043-af8fbba16614,13,1630168995.349439,1630169002.4221792,0.003326040192760625
0,thelio,109191,c57b2300-ec09-41a4-81c2-41c28aa103c5,14,1630168995.3479915,1630169001.6577704,0.002995734859361203
0,thelio,109216,76861a3c-8231-419a-ad32-227cbea88d02,15,1630168995.337063,1630169003.2815766,0.003628378425369909
0,thelio,109214,cea8349e-df86-415a-917a-d8f491fd11fb,16,1630168995.3627732,1630169004.673512,0.004320025713119268
