birth_id,position,velocity,angle,rotational_velocity,start_eval_time,stop_eval_time,fitness
8,0.7488904455222443,0.0005959720801197096,0.01815865283937551,-0.027337360263999147,1646426354.0639129,1646426354.267574,15.0
9,0.5598018010146193,-0.00021928157907880053,-0.1942576078961604,0.013574961538531771,1646426354.066889,1646426354.316378,35.0
17,-2.107670347680185,0.0023702524675713113,0.1615615086989118,-0.03562656031772715,1646426354.269235,1646426354.387357,21.0
23,0.2795637018792383,-0.039760464033830704,0.0009352795874846276,-0.009675589466430476,1646426354.32413,1646426354.4108832,17.0
25,-0.7605796550648751,-0.041917634738529566,0.05844103028819053,-0.010258698783845032,1646426354.39057,1646426354.504972,22.0
26,-2.134590589462574,0.0030991302432824114,0.1743399447898498,-0.03443722325165855,1646426354.41242,1646426354.511563,41.0
7,-2.2487240441876097,0.016562833585194434,0.20470621538887682,-0.02300346466295632,1646426354.0716329,1646426354.589659,24.0
3,1.3855165849168913,-0.01692543077798877,0.1573430864494957,0.00928548836508529,1646426354.067598,1646426354.591291,35.0
10,0.4454949559767396,-0.03804057413192268,0.16430584699079506,0.011442982650287446,1646426354.0688682,1646426354.593507,17.0
5,1.3256686265300832,-0.02264493203558713,0.1465625609333341,0.045658120418269124,1646426354.067188,1646426354.594615,9.0
11,-2.248295223869263,-0.01893118167052307,-0.00895381588495947,-0.04558391581992131,1646426354.080069,1646426354.5952792,35.0
0,-0.85370751807439,-0.04147294128270101,0.07262535733281919,-0.010229353843587141,1646426354.079437,1646426354.5955148,23.0
13,-1.0623654818717623,-0.03998280279766382,0.11697544505267979,0.022686514532055585,1646426354.074495,1646426354.595662,26.0
6,2.0445192309721008,-0.033970996131959454,0.08997383677874773,-0.034036561756100245,1646426354.0715678,1646426354.590147,14.0
1,1.7308884670039357,0.03580780328061746,0.1209624368437229,0.0027300900715747506,1646426354.069758,1646426354.597753,14.0
12,-1.496492900130416,-0.038848555474154604,-0.017880286966134418,0.04575816903471501,1646426354.079544,1646426354.597722,22.0
15,0.513306555169962,-0.04980498738741003,0.07235994591108377,-0.029242855555527737,1646426354.084445,1646426354.597843,25.0
14,0.38928622180388395,0.0390143300155459,-0.20164558470065266,-0.00024121409410974431,1646426354.065381,1646426354.599941,22.0
2,-1.400384531138618,0.012169917771072028,-0.20470554299630372,-0.0264026434227337,1646426354.088403,1646426354.598784,61.0
4,-1.5916576854632947,-0.015470915583736158,0.0013566458716259833,-0.03794165920227948,1646426354.10988,1646426354.5964,18.0
27,-2.180066736650036,0.0023999456528376395,0.17063382148214792,-0.034709599168755045,1646426354.506635,1646426354.6075861,43.0
28,0.7922822659773632,0.040667525913540906,0.05932021547086525,-0.03887989621753981,1646426354.541127,1646426354.633348,37.0
22,2.148455285901989,0.0004951291401403268,0.12848073768737614,-0.027715872600400163,1646426354.594841,1646426354.706239,31.0
20,1.6952744373824982,-0.01170862773070798,-0.18721672406558418,0.028858436263259665,1646426354.602877,1646426354.745261,17.0
19,-0.8000294590182992,-0.03984715397939853,-0.052467241169219386,-0.010299407105766899,1646426354.601135,1646426354.751314,34.0
21,1.258516362932205,-0.002509462886347416,0.09177100737329316,0.04639088413642513,1646426354.598924,1646426354.744192,14.0
16,0.019363499976491116,0.021856953340171376,-0.0170449423188041,-0.03173660336570148,1646426354.599194,1646426354.751812,35.0
18,-0.8676703546322553,0.029561426167231133,0.13375849090561256,-0.03448694564771252,1646426354.600673,1646426354.751735,29.0
24,0.7945239242047251,0.04150607691817189,0.046363821953213896,-0.03837772386981941,1646426354.603549,1646426354.753819,51.0
30,0.2983293144222987,-0.037884501511970946,0.15276553318414407,0.011951003606964846,1646426354.612004,1646426354.75537,12.0
29,0.11615839410690611,0.020311938810454188,-0.027676921632189204,-0.030114358391696718,1646426354.6028988,1646426354.7566998,38.0
31,-2.333787381099604,0.01587528995728353,0.2095,-0.023587533601487357,1646426354.639724,1646426354.764415,9.0
32,-1.604377817053737,-0.015264949960950082,0.005976471015214074,-0.03940970181184125,1646426354.652668,1646426354.775188,32.0
33,1.4033537833584973,-0.01555279716401188,0.1557466773402256,0.00918298346510254,1646426354.664394,1646426354.785013,12.0
34,0.6127257456534583,-0.05,0.07673270917912194,-0.030066821467454503,1646426354.6946392,1646426354.8029609,63.0
35,-0.6295445378606404,-0.042903577489166275,0.05942226624085539,-0.010321605603036101,1646426354.771606,1646426354.846401,36.0
36,-2.0758891818679857,0.0017691017100406113,0.17964746885012256,-0.03555964011205751,1646426354.797311,1646426354.869519,25.0
37,-2.236356730222519,0.016239543616769103,0.20043307467844212,-0.02307929186089202,1646426354.803193,1646426354.881414,12.0
38,0.6497575372092177,0.0008969281094215133,0.012596113747929794,-0.026907642993932987,1646426354.812727,1646426354.888543,24.0
39,0.004690658399901045,0.021518545128299652,-0.011984401942467618,-0.033947148376537506,1646426354.823064,1646426354.894432,28.0
40,0.7002138329255779,0.04069100364341933,0.04196076853972747,-0.03669328653020257,1646426354.833611,1646426354.912191,17.0
41,0.4071447234805857,0.03877062302788579,-0.2095,-0.0006951106206168432,1646426354.8438752,1646426354.9210181,22.0
42,0.3490658060311931,0.038440267219389444,-0.20540251793306813,-0.0012166242732197922,1646426354.8558831,1646426354.9318259,26.0
43,0.6575780979408095,-0.05,0.07108785981915007,-0.03164926800207795,1646426354.871119,1646426354.949918,16.0
44,1.6551340663837255,-0.012679850668308547,-0.19085505693705396,0.030440690769573026,1646426354.8895092,1646426354.965696,9.0
45,2.1180663409550693,0.00018827615728355654,0.12594291595737722,-0.026597381349631334,1646426354.901928,1646426354.9765382,16.0
