interval,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,f9ab5619-17bb-4962-9960-a956b6a88d61,4,1646428848.773691,1646428849.0877619,84.0
25,f9ab5619-17bb-4962-9960-a956b6a88d61,4,1646428848.773691,1646428849.0877619,84.0
25,667a3828-fc3b-4a8b-b8a7-843e398708c4,13,1646428848.778683,1646428849.088779,56.0
25,8d9d518b-5832-460a-a0e7-5ae96937d045,14,1646428848.7768261,1646428849.090348,171.0
25,a5ec9880-967e-43c8-b61b-3f9c16ffbcc2,2,1646428848.77598,1646428849.091611,155.0
25,2daa30b8-6e5d-4e1c-8bc6-6e3860abc8a9,7,1646428848.791306,1646428849.0918798,52.0
25,8c9eb7bc-e4b0-47d8-8857-e5f3cfaef37d,10,1646428848.7821188,1646428849.104095,160.0
25,2b24fbb7-6038-415d-ad6d-7347ca3882cf,8,1646428848.78702,1646428849.107169,20.0
25,b962bf07-cdcf-4a68-bd4c-2c24dd70c850,12,1646428848.7878249,1646428849.109623,178.0
25,763def94-bbfd-4b5f-b9b4-67ccf27f7cbf,1,1646428848.7873862,1646428849.1066759,53.0
25,549ddbbf-ef83-4a0d-ae3d-9674c3f5f94e,0,1646428848.7803771,1646428849.116302,108.0
25,99e332c0-071f-4ffe-889e-68f2fd8564af,11,1646428848.803529,1646428849.1189098,171.0
25,813fdf03-f3b8-45ec-ab47-ed1a80fef186,9,1646428848.779674,1646428849.112587,174.0
25,4842cbd3-055e-49d0-a796-ccac206e54c2,3,1646428848.8023832,1646428849.1365051,187.0
25,b55388ce-315a-49f5-a8eb-5aa87cbe648a,26,1646428849.172161,1646428849.329314,49.0
25,e59e6334-2c03-441a-8a2e-676f098ed192,5,1646428848.885382,1646428849.1795928,171.0
25,82b21915-5640-4148-a10a-1e257852a90c,15,1646428848.906225,1646428849.184213,47.0
25,547ec406-5370-432d-ba54-f4a706dd544b,24,1646428849.0903401,1646428849.250496,19.0
25,083138ac-6972-4e61-9808-e4812f15790a,18,1646428849.113573,1646428849.301048,30.0
25,10c43809-dd4d-4b0c-b705-4ede24708732,20,1646428849.093837,1646428849.308038,185.0
25,ee603b5a-779e-451d-86dc-a895434a853e,16,1646428849.118252,1646428849.315056,81.0
25,d4c80503-2214-4dcd-ae3c-8df5bb3de3de,25,1646428849.13923,1646428849.31643,17.0
25,1997f530-8a21-4bfa-9e27-cb795bd26bab,23,1646428849.129341,1646428849.319641,51.0
25,e5bd61fa-274c-4f51-a3e8-a95b8044ea5c,17,1646428849.10913,1646428849.319437,209.0
25,f7b59429-5ed9-421b-9f5d-fcc4233f2418,21,1646428849.120985,1646428849.325568,144.0
25,6ffe77eb-963a-4282-9560-cdac52310671,19,1646428849.112721,1646428849.3212612,122.0
50,f9ab5619-17bb-4962-9960-a956b6a88d61,4,1646428848.773691,1646428849.0877619,84.0
50,667a3828-fc3b-4a8b-b8a7-843e398708c4,13,1646428848.778683,1646428849.088779,56.0
50,1c864479-19a2-422d-9e58-71791f56df17,32,1646428849.367063,1646428849.468585,123.0
50,f17a3c03-2f9f-415b-9c4b-5762c215a9ce,48,1646428849.708205,1646428849.813078,21.0
50,2daa30b8-6e5d-4e1c-8bc6-6e3860abc8a9,7,1646428848.791306,1646428849.0918798,52.0
50,f51d9346-f448-4a62-a9ca-1107db41a58c,41,1646428849.5691211,1646428849.6752288,18.0
50,2b24fbb7-6038-415d-ad6d-7347ca3882cf,8,1646428848.78702,1646428849.107169,20.0
50,67ffb17a-761d-4663-9666-f6c8d59f335a,30,1646428849.3081799,1646428849.411776,59.0
50,763def94-bbfd-4b5f-b9b4-67ccf27f7cbf,1,1646428848.7873862,1646428849.1066759,53.0
50,549ddbbf-ef83-4a0d-ae3d-9674c3f5f94e,0,1646428848.7803771,1646428849.116302,108.0
