interval,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,4908f67a-cb07-4cdb-8e05-6c754a29b8d7,7,1646435063.0384839,1646435063.308715,190.0
25,4908f67a-cb07-4cdb-8e05-6c754a29b8d7,7,1646435063.0384839,1646435063.308715,190.0
25,318ae873-7051-4896-8595-955a9c276ef6,5,1646435063.037645,1646435063.322977,133.0
25,66e01af2-18e0-4e1b-81a0-cc549039c31b,3,1646435063.03809,1646435063.329918,131.0
25,ed3a3778-1dd1-4659-8ed9-6cfbe3af4085,2,1646435063.038186,1646435063.330344,20.0
25,afd82bc1-8899-4bc8-8d58-06dfdada4a35,8,1646435063.06947,1646435063.343793,12.0
25,09c92f2d-8a9f-4ff0-b2ad-bd1f7b142cba,1,1646435063.065923,1646435063.353618,91.0
25,7cdc769d-9327-48fb-95c9-d65c590b8dd3,0,1646435063.0774028,1646435063.353209,105.0
25,02adac6a-ac01-44c4-a016-db56830f182e,11,1646435063.07518,1646435063.3541021,71.0
25,776f4e2b-0649-4977-949f-67e6cf477d0a,6,1646435063.07412,1646435063.3556218,106.0
25,cb757137-1029-493e-ab6a-415001f7fc62,15,1646435063.087776,1646435063.36,105.0
25,fcf4919e-ae39-4808-ba8f-6e89f35bb0f0,13,1646435063.073979,1646435063.362157,103.0
25,54bc9924-eebc-4452-96df-9400adc2971a,10,1646435063.075254,1646435063.3628922,149.0
25,3b108a7b-ce5f-412a-bb22-58f3477e7707,12,1646435063.0757551,1646435063.3639739,196.0
25,bf3df3e9-df02-432d-8791-62d4617ce60c,9,1646435063.102175,1646435063.365371,81.0
25,ada6fe5b-0830-4e8a-8175-565b05407f7b,14,1646435063.089626,1646435063.366833,94.0
25,db464dbf-978b-4e4b-bbef-273db58af0aa,4,1646435063.074229,1646435063.370811,178.0
25,b22aebba-81c0-44ff-b936-8711bc050404,20,1646435063.332608,1646435063.4786198,81.0
25,2c9aa9b4-7c2d-4b01-9b06-7eb0a84bad75,22,1646435063.332463,1646435063.490412,111.0
25,8a7cf704-7e92-4fe8-b251-28ae69e58c99,17,1646435063.345851,1646435063.505913,143.0
25,9c6114fe-a661-417a-99c3-95a578a0b482,23,1646435063.368059,1646435063.509797,78.0
25,cd32a752-4570-45b7-800b-ce460819bd18,16,1646435063.3560069,1646435063.508904,130.0
25,998a0ab1-9f4d-4211-b192-ff0c308de3f8,24,1646435063.3728352,1646435063.515923,117.0
25,77c6370f-3eeb-49cc-8afb-81899259a5b3,18,1646435063.355663,1646435063.5164459,117.0
25,a0f02435-8245-43ab-8f8e-74653767a3ec,25,1646435063.389405,1646435063.521664,115.0
25,6368a10c-5dca-4f3a-90da-a3f3cc5175b4,19,1646435063.3658712,1646435063.538838,395.0
50,98d15201-1e6d-45d3-af29-ddeff3310c31,28,1646435063.505329,1646435063.607764,111.0
50,72cf50c7-66b4-43f7-8a88-162e343db607,36,1646435063.6444008,1646435063.734377,66.0
50,2c87bba0-10f1-482a-b943-8d5b53afa226,38,1646435063.67923,1646435063.763565,9.0
50,ed3a3778-1dd1-4659-8ed9-6cfbe3af4085,2,1646435063.038186,1646435063.330344,20.0
50,afd82bc1-8899-4bc8-8d58-06dfdada4a35,8,1646435063.06947,1646435063.343793,12.0
50,09c92f2d-8a9f-4ff0-b2ad-bd1f7b142cba,1,1646435063.065923,1646435063.353618,91.0
50,7cdc769d-9327-48fb-95c9-d65c590b8dd3,0,1646435063.0774028,1646435063.353209,105.0
50,02adac6a-ac01-44c4-a016-db56830f182e,11,1646435063.07518,1646435063.3541021,71.0
50,776f4e2b-0649-4977-949f-67e6cf477d0a,6,1646435063.07412,1646435063.3556218,106.0
50,cb757137-1029-493e-ab6a-415001f7fc62,15,1646435063.087776,1646435063.36,105.0
50,fcf4919e-ae39-4808-ba8f-6e89f35bb0f0,13,1646435063.073979,1646435063.362157,103.0
50,9504ae57-a4e2-4320-9719-f22636457a9a,50,1646435063.86869,1646435063.9630349,17.0
50,351c313b-0036-4a4f-b978-c339eeb9c9f4,27,1646435063.437856,1646435063.5484319,20.0
50,bf3df3e9-df02-432d-8791-62d4617ce60c,9,1646435063.102175,1646435063.365371,81.0
50,ada6fe5b-0830-4e8a-8175-565b05407f7b,14,1646435063.089626,1646435063.366833,94.0
50,0e5ca086-5394-4cc7-bef0-0e033d5a6818,29,1646435063.528032,1646435063.6183941,94.0
50,b22aebba-81c0-44ff-b936-8711bc050404,20,1646435063.332608,1646435063.4786198,81.0
50,2c9aa9b4-7c2d-4b01-9b06-7eb0a84bad75,22,1646435063.332463,1646435063.490412,111.0
50,f1a9c654-bb9d-410c-8793-2c7548d360f1,34,1646435063.607784,1646435063.6994402,90.0
50,9c6114fe-a661-417a-99c3-95a578a0b482,23,1646435063.368059,1646435063.509797,78.0
50,a9f77408-db5f-4c56-b70a-f8054409b18e,39,1646435063.6948779,1646435063.794753,106.0
50,e1b1d0fc-0096-49b3-a5ff-e343a9754063,40,1646435063.724344,1646435063.809878,12.0
50,b872975a-23ff-43ae-85f6-f967d2a50283,41,1646435063.73136,1646435063.82247,47.0
50,8d012ebf-591b-4715-b174-8393e63611f5,48,1646435063.835475,1646435063.928189,102.0
50,9cf91d53-bb30-485c-aa4e-44ac50fa2a2b,33,1646435063.5876439,1646435063.677851,55.0
75,8fd43f93-8773-4cf5-9f43-93016039064c,60,1646435064.052534,1646435064.1445508,41.0
75,72cf50c7-66b4-43f7-8a88-162e343db607,36,1646435063.6444008,1646435063.734377,66.0
75,2c87bba0-10f1-482a-b943-8d5b53afa226,38,1646435063.67923,1646435063.763565,9.0
75,ed3a3778-1dd1-4659-8ed9-6cfbe3af4085,2,1646435063.038186,1646435063.330344,20.0
75,afd82bc1-8899-4bc8-8d58-06dfdada4a35,8,1646435063.06947,1646435063.343793,12.0
75,09c92f2d-8a9f-4ff0-b2ad-bd1f7b142cba,1,1646435063.065923,1646435063.353618,91.0
75,de7f3286-20be-46f3-865f-38c8eb191601,69,1646435064.1919,1646435064.2872682,101.0
75,02adac6a-ac01-44c4-a016-db56830f182e,11,1646435063.07518,1646435063.3541021,71.0
75,ebb30085-7ae2-43a9-9a98-a357c12ee0a3,63,1646435064.114038,1646435064.2093709,69.0
75,1b6447c3-499d-4135-a2b0-348912a52d30,72,1646435064.250397,1646435064.3427489,99.0
75,c020d237-6398-4db0-9063-bf12686e41e5,73,1646435064.264245,1646435064.3623521,88.0
75,9504ae57-a4e2-4320-9719-f22636457a9a,50,1646435063.86869,1646435063.9630349,17.0
75,351c313b-0036-4a4f-b978-c339eeb9c9f4,27,1646435063.437856,1646435063.5484319,20.0
75,bf3df3e9-df02-432d-8791-62d4617ce60c,9,1646435063.102175,1646435063.365371,81.0
75,ada6fe5b-0830-4e8a-8175-565b05407f7b,14,1646435063.089626,1646435063.366833,94.0
75,0e5ca086-5394-4cc7-bef0-0e033d5a6818,29,1646435063.528032,1646435063.6183941,94.0
75,b22aebba-81c0-44ff-b936-8711bc050404,20,1646435063.332608,1646435063.4786198,81.0
75,a1bc86b2-a569-47c5-90d1-6765656d4830,55,1646435063.9690292,1646435064.0689,84.0
75,f1a9c654-bb9d-410c-8793-2c7548d360f1,34,1646435063.607784,1646435063.6994402,90.0
75,9c6114fe-a661-417a-99c3-95a578a0b482,23,1646435063.368059,1646435063.509797,78.0
75,8589dc06-9d6a-4492-ad93-f755eb580975,68,1646435064.177013,1646435064.266214,16.0
75,e1b1d0fc-0096-49b3-a5ff-e343a9754063,40,1646435063.724344,1646435063.809878,12.0
75,b872975a-23ff-43ae-85f6-f967d2a50283,41,1646435063.73136,1646435063.82247,47.0
75,b3821ad3-da33-4a0e-bca3-b488ceafc3f3,74,1646435064.286336,1646435064.381205,92.0
75,9cf91d53-bb30-485c-aa4e-44ac50fa2a2b,33,1646435063.5876439,1646435063.677851,55.0
100,8fd43f93-8773-4cf5-9f43-93016039064c,60,1646435064.052534,1646435064.1445508,41.0
100,72cf50c7-66b4-43f7-8a88-162e343db607,36,1646435063.6444008,1646435063.734377,66.0
100,2c87bba0-10f1-482a-b943-8d5b53afa226,38,1646435063.67923,1646435063.763565,9.0
100,ed3a3778-1dd1-4659-8ed9-6cfbe3af4085,2,1646435063.038186,1646435063.330344,20.0
100,afd82bc1-8899-4bc8-8d58-06dfdada4a35,8,1646435063.06947,1646435063.343793,12.0
100,e6a1cb0e-c3f3-4c51-80f1-85cdd0c747f0,87,1646435064.491799,1646435064.580482,39.0
100,f56bb2a0-ffb5-4e36-a83e-40c9e2322ac7,77,1646435064.327779,1646435064.412019,9.0
100,02adac6a-ac01-44c4-a016-db56830f182e,11,1646435063.07518,1646435063.3541021,71.0
100,ebb30085-7ae2-43a9-9a98-a357c12ee0a3,63,1646435064.114038,1646435064.2093709,69.0
100,3672c00f-b4b0-4471-b7c7-301a09212d3b,79,1646435064.371729,1646435064.4569411,18.0
100,0e25ca9e-e8c5-4372-be04-e45ad935c86d,98,1646435064.6658828,1646435064.764443,79.0
100,9504ae57-a4e2-4320-9719-f22636457a9a,50,1646435063.86869,1646435063.9630349,17.0
100,351c313b-0036-4a4f-b978-c339eeb9c9f4,27,1646435063.437856,1646435063.5484319,20.0
100,bf3df3e9-df02-432d-8791-62d4617ce60c,9,1646435063.102175,1646435063.365371,81.0
100,2ddbe1b0-ad5e-4ee1-8590-f6f35a579173,80,1646435064.402408,1646435064.491245,71.0
100,02cafb02-4650-49b7-8e70-d25c6739ec32,82,1646435064.4252732,1646435064.524738,44.0
100,b22aebba-81c0-44ff-b936-8711bc050404,20,1646435063.332608,1646435063.4786198,81.0
100,a1bc86b2-a569-47c5-90d1-6765656d4830,55,1646435063.9690292,1646435064.0689,84.0
100,25bfd40c-d581-4ff2-9cf6-d21b3a78a3f9,92,1646435064.5924559,1646435064.687308,20.0
100,9c6114fe-a661-417a-99c3-95a578a0b482,23,1646435063.368059,1646435063.509797,78.0
100,8589dc06-9d6a-4492-ad93-f755eb580975,68,1646435064.177013,1646435064.266214,16.0
100,e1b1d0fc-0096-49b3-a5ff-e343a9754063,40,1646435063.724344,1646435063.809878,12.0
100,b872975a-23ff-43ae-85f6-f967d2a50283,41,1646435063.73136,1646435063.82247,47.0
100,85113a0f-a4e0-4523-b680-6f946f266105,86,1646435064.47837,1646435064.5718179,77.0
100,9cf91d53-bb30-485c-aa4e-44ac50fa2a2b,33,1646435063.5876439,1646435063.677851,55.0
125,8fd43f93-8773-4cf5-9f43-93016039064c,60,1646435064.052534,1646435064.1445508,41.0
125,72cf50c7-66b4-43f7-8a88-162e343db607,36,1646435063.6444008,1646435063.734377,66.0
125,2c87bba0-10f1-482a-b943-8d5b53afa226,38,1646435063.67923,1646435063.763565,9.0
125,ed3a3778-1dd1-4659-8ed9-6cfbe3af4085,2,1646435063.038186,1646435063.330344,20.0
125,afd82bc1-8899-4bc8-8d58-06dfdada4a35,8,1646435063.06947,1646435063.343793,12.0
125,e6a1cb0e-c3f3-4c51-80f1-85cdd0c747f0,87,1646435064.491799,1646435064.580482,39.0
125,f56bb2a0-ffb5-4e36-a83e-40c9e2322ac7,77,1646435064.327779,1646435064.412019,9.0
125,02adac6a-ac01-44c4-a016-db56830f182e,11,1646435063.07518,1646435063.3541021,71.0
125,ebb30085-7ae2-43a9-9a98-a357c12ee0a3,63,1646435064.114038,1646435064.2093709,69.0
125,3672c00f-b4b0-4471-b7c7-301a09212d3b,79,1646435064.371729,1646435064.4569411,18.0
125,15b0cdb5-b73c-421f-88a2-b0497e41c00b,114,1646435064.936933,1646435065.026589,14.0
125,9504ae57-a4e2-4320-9719-f22636457a9a,50,1646435063.86869,1646435063.9630349,17.0
125,351c313b-0036-4a4f-b978-c339eeb9c9f4,27,1646435063.437856,1646435063.5484319,20.0
125,a232c754-1a16-413d-a585-ef2ddc9db579,109,1646435064.858062,1646435064.949963,70.0
125,2ddbe1b0-ad5e-4ee1-8590-f6f35a579173,80,1646435064.402408,1646435064.491245,71.0
125,02cafb02-4650-49b7-8e70-d25c6739ec32,82,1646435064.4252732,1646435064.524738,44.0
125,204369f1-1048-4219-bee5-d23a90685351,112,1646435064.904458,1646435065.002057,50.0
125,e01a3ad4-5ae7-4f3b-a966-7559964c087a,103,1646435064.762114,1646435064.8509598,20.0
125,25bfd40c-d581-4ff2-9cf6-d21b3a78a3f9,92,1646435064.5924559,1646435064.687308,20.0
125,9c6114fe-a661-417a-99c3-95a578a0b482,23,1646435063.368059,1646435063.509797,78.0
125,8589dc06-9d6a-4492-ad93-f755eb580975,68,1646435064.177013,1646435064.266214,16.0
125,e1b1d0fc-0096-49b3-a5ff-e343a9754063,40,1646435063.724344,1646435063.809878,12.0
125,b872975a-23ff-43ae-85f6-f967d2a50283,41,1646435063.73136,1646435063.82247,47.0
125,85113a0f-a4e0-4523-b680-6f946f266105,86,1646435064.47837,1646435064.5718179,77.0
125,9cf91d53-bb30-485c-aa4e-44ac50fa2a2b,33,1646435063.5876439,1646435063.677851,55.0
150,8fd43f93-8773-4cf5-9f43-93016039064c,60,1646435064.052534,1646435064.1445508,41.0
150,72cf50c7-66b4-43f7-8a88-162e343db607,36,1646435063.6444008,1646435063.734377,66.0
150,2c87bba0-10f1-482a-b943-8d5b53afa226,38,1646435063.67923,1646435063.763565,9.0
150,ed3a3778-1dd1-4659-8ed9-6cfbe3af4085,2,1646435063.038186,1646435063.330344,20.0
150,afd82bc1-8899-4bc8-8d58-06dfdada4a35,8,1646435063.06947,1646435063.343793,12.0
150,e6a1cb0e-c3f3-4c51-80f1-85cdd0c747f0,87,1646435064.491799,1646435064.580482,39.0
150,f56bb2a0-ffb5-4e36-a83e-40c9e2322ac7,77,1646435064.327779,1646435064.412019,9.0
150,02adac6a-ac01-44c4-a016-db56830f182e,11,1646435063.07518,1646435063.3541021,71.0
150,ebb30085-7ae2-43a9-9a98-a357c12ee0a3,63,1646435064.114038,1646435064.2093709,69.0
150,3672c00f-b4b0-4471-b7c7-301a09212d3b,79,1646435064.371729,1646435064.4569411,18.0
150,15b0cdb5-b73c-421f-88a2-b0497e41c00b,114,1646435064.936933,1646435065.026589,14.0
150,9504ae57-a4e2-4320-9719-f22636457a9a,50,1646435063.86869,1646435063.9630349,17.0
150,351c313b-0036-4a4f-b978-c339eeb9c9f4,27,1646435063.437856,1646435063.5484319,20.0
150,a232c754-1a16-413d-a585-ef2ddc9db579,109,1646435064.858062,1646435064.949963,70.0
150,2ddbe1b0-ad5e-4ee1-8590-f6f35a579173,80,1646435064.402408,1646435064.491245,71.0
