interval,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,7cf8c5a2-e8b7-49e2-95d7-7d6c6429988d,2,1646428420.29394,1646428420.6218119,12.0
25,7cf8c5a2-e8b7-49e2-95d7-7d6c6429988d,2,1646428420.29394,1646428420.6218119,12.0
25,fcb5be99-0104-4fc5-ba06-2cb52f1138e0,26,1646428420.7062469,1646428420.866053,14.0
25,8cad6725-27a7-4451-a4c5-64c8fc5d6df2,6,1646428420.27537,1646428420.637008,13.0
25,f9fc7dee-4aef-4e57-9761-2673e532bda5,12,1646428420.276305,1646428420.638286,12.0
25,0ab084a8-b3b1-40d0-a2ce-839f617b4211,11,1646428420.301274,1646428420.638814,25.0
25,1857bc8a-af2a-4c13-8b06-c8c158e89e7f,3,1646428420.302291,1646428420.639874,19.0
25,caaba005-5fa0-4999-a5e2-290d36ae64c2,15,1646428420.290035,1646428420.64939,30.0
25,d55b6254-0aeb-4b3d-b6c5-89fa1dc04072,1,1646428420.2831411,1646428420.65149,47.0
25,c725bc93-2e2c-416e-9967-247660e2f486,9,1646428420.2793741,1646428420.654356,25.0
25,1c0e0d31-8428-4653-96f3-0c14a146ef52,0,1646428420.31694,1646428420.658987,11.0
25,d5914d68-17d5-4726-9498-9302a7286f9a,8,1646428420.318212,1646428420.660933,34.0
25,554425b1-34a3-4b9e-b217-5d2923434d2d,10,1646428420.298765,1646428420.664031,56.0
25,7ea872c1-30a9-437c-b78c-e40f0ec4e9eb,7,1646428420.294601,1646428420.669871,30.0
25,bb5ce0e8-b86e-4eb6-970c-425e0d5e6f1b,4,1646428420.275796,1646428420.697402,16.0
25,c1a93b8f-fd0b-4adf-a6ac-8cfd76bbd95c,13,1646428420.447118,1646428420.6977751,8.0
25,e033e105-5087-463c-a999-2a33304ae37b,14,1646428420.4172108,1646428420.6962261,11.0
25,f0cc6da5-8f31-4fea-9c10-c6cdd84a28d3,20,1646428420.625675,1646428420.807632,47.0
