interval,uuid,birth_id,start_eval_time,stop_eval_time,fitness
0,a36a34ca-a1dd-486e-96a6-e3a04a0f1748,4,1646429204.7795851,1646429205.1476889,47.0
25,a36a34ca-a1dd-486e-96a6-e3a04a0f1748,4,1646429204.7795851,1646429205.1476889,47.0
25,eca40262-072f-45ae-a265-943786a94a45,13,1646429204.757832,1646429205.156343,24.0
25,2862b05a-cba9-4b91-912d-1836424a90e1,23,1646429205.221566,1646429205.3857422,172.0
25,f4ae86a4-66b4-49ca-8cda-3790fbdd6aca,14,1646429204.7898,1646429205.175585,24.0
25,9051a786-f8c3-4bb5-9117-0b324bd702b0,12,1646429204.7955892,1646429205.1769211,417.0
25,d3eff3f2-1789-4f45-a1fc-d533f105645c,15,1646429204.782783,1646429205.1803489,171.0
25,ef42ac0a-de3e-4f75-ac90-15af42e394a9,8,1646429204.787122,1646429205.180267,135.0
25,0d8a1214-2576-4cc9-96bf-3e28e9911e44,1,1646429204.7980301,1646429205.183285,500.0
25,8ea2edc3-f04b-448c-b6f5-a18c767771ac,0,1646429204.768929,1646429205.186914,489.0
25,7f91b3c1-5501-4ae8-abdc-5a2da0e054dd,10,1646429204.8029618,1646429205.185364,390.0
25,cc1405f7-0ae7-4367-a743-b457f47321ec,11,1646429204.8435872,1646429205.201659,129.0
25,93e7b52e-5ad6-42ee-9b0b-55dce0c55520,7,1646429204.85486,1646429205.212254,159.0
25,440b07f9-3428-4b34-8b02-2d6fa34bd458,6,1646429204.8034492,1646429205.212188,500.0
25,61ea4a20-5d46-4e8b-8fbc-b0aaa6fc95c0,5,1646429204.865473,1646429205.2140648,175.0
25,77f4c356-183e-412c-9288-38a5c6d5c7c7,9,1646429204.854451,1646429205.219108,201.0
25,5bdb6f54-1851-4a41-a560-37c7f93104cf,2,1646429204.829483,1646429205.238869,500.0
25,933e2b92-98dd-44da-be17-0bb5de21233d,24,1646429205.149813,1646429205.286488,53.0
25,18608834-aab3-4b79-8b3a-4279971ad6a9,22,1646429205.1591208,1646429205.318387,152.0
25,3a0afea2-f529-4bed-934c-fe1e866313ae,19,1646429205.1827562,1646429205.3469172,82.0
25,baf59e75-0098-4dd7-8343-7293818045eb,21,1646429205.20617,1646429205.360555,43.0
25,7c495644-a6d1-4d71-89c1-dc3830364d63,18,1646429205.1863801,1646429205.361175,63.0
25,1ec30b42-d7cd-4a09-b51f-b9dd19bfb97f,16,1646429205.190159,1646429205.362238,126.0
25,f7aced22-9e3a-4761-93ae-1286ae27f317,25,1646429205.20194,1646429205.370306,134.0
25,de3ac423-d919-4b30-b11c-66b8e3719f03,26,1646429205.237016,1646429205.3826292,26.0
25,70776d18-c9d8-4b26-a4b6-622cdf594cdb,17,1646429205.183548,1646429205.384875,500.0
50,a36a34ca-a1dd-486e-96a6-e3a04a0f1748,4,1646429204.7795851,1646429205.1476889,47.0
50,eca40262-072f-45ae-a265-943786a94a45,13,1646429204.757832,1646429205.156343,24.0
50,0b829b75-e6f0-4414-bc70-be6ce022e2ef,50,1646429205.8575768,1646429205.9649239,41.0
50,f4ae86a4-66b4-49ca-8cda-3790fbdd6aca,14,1646429204.7898,1646429205.175585,24.0
