Episode,Reward,TrainTime,Position,Velocity,Angle,RotationalVelocity
0,27.0,0.0020520687103271484,0.03973390907049179,-0.02603229135274887,-0.03710303455591202,0.021523524075746536
1,88.0,0.0054779052734375,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
2,174.0,0.009686708450317383,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
3,104.0,0.00583195686340332,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
4,70.0,0.0039827823638916016,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
5,34.0,0.0019991397857666016,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
6,87.0,0.004886150360107422,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
7,158.0,0.00875997543334961,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
8,256.0,0.014105081558227539,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
9,58.0,0.0033142566680908203,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
10,76.0,0.004263162612915039,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
11,148.0,0.008349895477294922,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
12,184.0,0.01023411750793457,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
13,135.0,0.007634878158569336,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
14,109.0,0.006200075149536133,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
15,17.0,0.001081228256225586,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
16,58.0,0.003367185592651367,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
17,77.0,0.0044710636138916016,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
18,158.0,0.009029865264892578,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
19,44.0,0.002584695816040039,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
20,52.0,0.0030448436737060547,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
21,122.0,0.0069010257720947266,0.045184843242168427,0.028868671506643295,-0.036112189292907715,0.04013179615139961
22,47.0,0.0027539730072021484,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
23,138.0,0.007796049118041992,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
24,115.0,0.006491899490356445,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
25,31.0,0.0018482208251953125,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
26,33.0,0.0019481182098388672,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
27,102.0,0.00574803352355957,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
28,46.0,0.002680063247680664,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
29,53.0,0.0030460357666015625,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
30,37.0,0.0021741390228271484,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
31,99.0,0.005607128143310547,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
32,101.0,0.005979776382446289,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
33,37.0,0.0022652149200439453,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
34,108.0,0.006250858306884766,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
35,25.0,0.001569986343383789,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
36,106.0,0.006155967712402344,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
37,96.0,0.005620002746582031,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
38,31.0,0.0018932819366455078,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
39,13.0,0.0008647441864013672,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
40,100.0,0.00578618049621582,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
41,93.0,0.00545191764831543,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
42,102.0,0.005865812301635742,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
43,104.0,0.006010293960571289,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
44,64.0,0.0037577152252197266,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
45,105.0,0.0064487457275390625,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
46,112.0,0.006575822830200195,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
47,103.0,0.00574493408203125,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
48,111.0,0.006203889846801758,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
49,103.0,0.006096839904785156,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
50,13.0,0.0008780956268310547,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
51,33.0,0.001981973648071289,-0.02789631299674511,0.016968080773949623,-0.04930267110466957,0.022523071616888046
