hostname,pid,uuid,birth_id,start_eval_time,stop_eval_time,fitness
thelio,28892,bab4ee36-e284-494e-a0ff-beafd91a2f97,15,1623473121.9964416,1623473129.1007478,0.0028833625554598973
thelio,28931,a41224a2-3733-47cb-817b-a683497a097c,29,1623473122.0078523,1623473129.1569335,0.002616384125001868
thelio,29132,93fc7c8b-5ca6-4329-96cf-a7eadca37323,42,1623473122.0175092,1623473129.4084244,0.002836241522277379
thelio,28892,95b0a49c-402f-4622-b98a-031ddcd9a2b7,31,1623473122.001842,1623473129.4791348,0.0028832940345014384
thelio,28915,478e3a3f-fafb-4c7b-b6da-ad3f6f16ab2d,32,1623473122.0173085,1623473129.5262215,0.0023792123600853213
thelio,28931,7ca95807-6f71-4b2b-ac89-34a0367ff955,45,1623473122.0207808,1623473129.5599997,0.0029858142094903828
thelio,28892,4d6627d0-73f6-430b-b7f9-9ec66095e48b,47,1623473122.018212,1623473129.5949876,0.004292977594206386
thelio,28931,7cf12f53-33b0-42dc-bf1b-33e0e46618d9,13,1623473121.9975383,1623473129.6778557,0.002447086587188104
thelio,28920,00fb4e9f-ff2c-46d7-a47a-93cbc871ade0,44,1623473122.0140445,1623473129.8298142,0.004415257132231143
thelio,28899,1fa5e904-dc7b-409a-8f3c-1b2daae1bfc6,34,1623473122.0222843,1623473129.840363,0.00294488653174432
thelio,29127,033b4a98-f56c-4926-8421-0818442689df,56,1623473122.0240436,1623473129.8636794,0.0023245672587740383
thelio,29197,3a0cc39d-d466-47fb-ab2c-5ea549f1715a,23,1623473122.0127947,1623473129.9328067,0.00274032060499768
thelio,28915,82d2fa9f-ce51-4e65-b0ce-f2c41f3cebf0,0,1623473121.9977694,1623473130.0053942,0.0026636252736460236
thelio,28895,227437ca-0cf3-4ea0-aad8-ce5273ae5253,27,1623473122.0187614,1623473130.0666068,0.002898612240895126
thelio,29197,8bb5605f-6ef8-4750-9023-04e097770340,39,1623473122.0231729,1623473130.1025686,0.0021435661431397726
thelio,29132,0e9385c3-d7c1-4e33-93d7-5dcd99b70080,10,1623473121.998925,1623473130.1354506,0.002514599051728423
thelio,28911,3e9e9956-8db9-44f9-97b3-114d94ae220b,14,1623473122.0028799,1623473130.164973,0.0038294251795400356
thelio,28911,4640fac7-64ca-402a-b109-2933cae70dfe,30,1623473122.0082092,1623473130.1931336,0.0025322764997773536
thelio,28899,519d5dd8-76b9-4bc4-8d8a-edbf4771d73c,18,1623473122.009023,1623473130.2333233,0.0024384572120121654
thelio,29197,91bd4175-d33f-46b8-82af-fd88d7706ff8,55,1623473122.028661,1623473130.2814138,0.00305290081171049
thelio,28907,63fa8d4f-c422-4300-9a24-d93413dabfd9,35,1623473122.021704,1623473130.2905753,0.001822631294915213
thelio,28899,9741d2cb-2289-4bcf-9b5d-51a4e3eb7eec,2,1623473121.9985397,1623473130.3176143,0.0029429672118396447
thelio,28911,59b1acec-6129-402d-8d5f-de341e53ea76,46,1623473122.027974,1623473130.406425,0.004535055658565607
thelio,29132,48b7771c-b882-417d-9f31-4057ce6466ab,26,1623473122.0094666,1623473130.4153275,0.002692002483668395
thelio,29127,a2d864dd-8a96-4e7a-b327-67338e9db887,24,1623473122.0101955,1623473130.452819,0.0026437241586880185
thelio,29127,2d4cc03a-11aa-4faf-b574-f4b156125a6f,8,1623473121.9997513,1623473130.4813914,0.0029496614193073936
thelio,28895,967e9918-7c0e-4c73-87a9-24d659c1483d,59,1623473122.039887,1623473130.4524531,0.0021847491546820577
thelio,28924,0440d25e-2542-4b48-9127-3d9bc4f96619,22,1623473122.0057878,1623473130.4850464,0.0024817680001718327
